course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1300,7,6,1.0,190,21,-1,-1,-1,-1,113,3,0,2,4,57.0,515,4,10,3,11,1637,25,0,0,0,0,10,0,0,0,0,16,0.0,0.0,824,857.0,876.0,52,3,0,5,0,52,3,0,5,0,2849,228,246,8,8,253,16,33,6,13
1300,7,6,0.0,90,22,-1,-1,-1,-1,108,11,0,2,4,57.0,453,2,10,3,11,1712,8,0,0,0,0,8,0,0,0,0,6,0.0,0.0,841,855.0,870.0,1640,69,101,4,6,31,1,2,3,6,5364,721,582,13,10,284,40,20,14,7
1300,7,6,1.5,-155,84,-1,-1,-1,26,88,5,0,0,2,53.5,424,-13,10,3,11,1045,1,0,0,0,0,1,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,2718,203,216,7,7,449,37,41,8,9,1269,192,110,15,8,295,33,24,11,8
1300,7,6,0.0,125,120,-1,149,-1,-1,13,9,0,1,3,57.0,487,15,10,3,11,1305,9,0,0,0,0,7,0,0,0,0,5,0.0,0.0,843,852.0,867.0,3021,267,268,8,8,342,31,24,9,7,8226,732,834,8,10,193,16,9,8,4
1300,7,6,-1.0,-233,43,-1,-1,-1,-1,135,1,0,0,3,51.0,436,-10,10,3,11,1279,9,0,0,0,0,9,0,0,0,0,5,0.0,0.0,849,865.0,881.0,63,1,4,1,6,63,1,4,1,6,2118,191,206,9,9,455,42,44,9,9
1300,7,6,1.0,344,29,-1,56,-1,-1,104,10,1,1,3,57.0,485,10,10,3,11,1381,1,0,0,0,0,1,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,7468,517,601,6,8,275,6,18,2,6,3882,269,330,6,8,257,19,26,7,10
1000,7,5,0.5,-465,28,-1,-1,-1,109,10,10,0,0,3,54.5,449,-13,10,4,11,1283,6,1,0,16,0,6,1,0,16,0,6,16.7,16.7,621,634.0,657.0,2846,217,219,7,7,437,36,39,8,8,1269,192,110,15,8,295,33,24,11,8
1000,7,5,4.0,285,35,-1,121,-1,-1,33,11,0,0,3,56.0,459,10,10,4,11,1353,12,1,2,8,16,11,1,2,9,18,1,100.0,100.0,624,624.0,624.0,1513,119,110,7,7,183,13,16,7,8,3882,269,330,6,8,257,19,26,7,10
1000,7,5,1.5,-69,29,-1,-1,-1,-1,143,5,0,0,3,53.0,471,-2,10,4,11,1321,11,0,2,0,18,11,0,2,0,18,7,0.0,28.6,621,635.0,650.0,1625,100,130,6,8,242,18,12,7,4,9988,903,967,9,9,319,35,29,10,9
1000,7,5,0.5,-515,35,-1,-1,-1,133,-1,1,0,0,3,54.5,440,-18,10,4,11,1367,5,1,1,20,20,5,1,1,20,20,2,0.0,50.0,627,631.0,635.0,6504,1318,985,20,15,494,110,74,22,14,1090,91,93,8,8,338,22,27,6,7
1000,7,5,2.0,71,28,-1,133,-1,-1,-1,2,0,0,3,54.0,467,2,10,4,11,1344,15,1,1,6,6,13,1,1,7,7,1,0.0,0.0,654,654.0,654.0,3021,267,268,8,8,342,31,24,9,7,8226,732,834,8,10,193,16,9,8,4
1000,7,5,0.0,-410,22,-1,-1,-1,39,74,4,0,0,4,52.0,470,-9,10,4,11,1680,15,0,1,0,6,9,0,0,0,0,1,0.0,0.0,643,643.0,643.0,1417,74,111,5,7,588,34,39,5,6,7406,599,656,8,8,201,19,20,9,9
1000,7,5,1.0,-28,36,-1,-1,-1,195,-1,9,0,0,3,53.0,479,-1,10,4,11,1339,10,0,2,0,20,9,0,1,0,11,5,0.0,20.0,631,635.0,644.0,2522,186,219,7,8,152,19,21,12,13,7299,690,748,9,10,273,42,33,15,12
1000,7,5,0.5,224,49,-1,-1,-1,-1,105,7,0,0,4,51.5,456,11,10,4,11,1711,8,1,0,12,0,8,1,0,12,0,3,0.0,0.0,628,632.0,639.0,1906,133,140,6,7,526,37,39,7,7,4568,370,396,8,8,254,14,12,5,4
